PERIOD_START,QTY
2015-12-20,2550.0
2016-01-17,2924.0
2016-02-14,3007.0
2016-03-13,3241.0
2016-04-10,4877.0
2016-05-08,3963.0
2016-06-05,3974.0
2016-07-03,3808.0
2016-07-31,4196.0
2016-08-28,4148.0
2016-09-25,4582.0
2016-10-23,4992.0
2016-11-20,5003.0
2016-12-18,4758.0
2017-01-15,4669.0
2017-02-12,5022.0
2017-03-12,5394.0
2017-04-09,5031.0
2017-05-07,4822.0
2017-06-04,5642.0
2017-07-02,5255.0
2017-07-30,5308.0
2017-08-27,5731.0
2017-09-24,6036.0
2017-10-22,6235.0
